video_id,title,channel,duration,view_count,like_count,parent_category,fine_category
5MvhVvefpM8,How To Stream To Twitch from PS4,ChowlbPlays,659,466115,15478,Education,Software Tutorials
PLr_xj0xC5k,TAO TAO 140cc The Best Chinese Dirt Bike You Can Buy?,ExoticMoTioN,659,139094,1805,Automotive,Car Reviews
FwFJ8Aart6o,Overwatch Animation Analysis  - for better body mechanics,Rusty Animator,659,16410,685,Sports,Analysis Shows
W-6nQfcHDGA,Weapon & Shield Duplication Glitch for Breath of the Wild *Patched* | Austin John Plays,Austin John Plays,659,1813628,25864,Entertainment,Game Commentary
dPSOs9lw90I,Step-by-Step Guide for Newton's Laws Problems,Stefan Bracher,659,281,3,Science & Technology,Physics
4piBfjSKAL4,None Shall Pass: How Aesop Rock Raps,Polyphonic,659,549663,22052,Entertainment,Music Videos
Ly0SEWUXmZ0,Ranking Your DISGUSTING Foods,dionyzauce,659,157,22,Hobbies & Interests,Ranked Lists
cTiq4LgHABs,BEST place to get DOUBLES in the EAST,YumRush,659,5599,150,Lifestyle,Food Reviews
wtgDgDrf-xI,Meeting DESHAE FROST For The First Time *Confronted Him*,SmoothGio,659,1506099,48610,Hobbies & Interests,Pranks
FYmAvzs6FwQ,Too Much Space Fish? Never. Episode Four of HQ Orange Blue,Inorganic Intelligence by the Kilogram,659,21,1,Art & Creativity,Drawing Tutorials
YnT163C9JLQ,"how to calculate pipe diameter, velocity and flow rate in plumbing engineering",AfreenAli,659,129770,823,Education,Engineering Projects
gYLS9fvrZ5s,Dredging for Gold In A Super Shallow Creek | How To Increase Gold Recovery,SLUICEBOY PROSPECTING,659,7256,142,Hobbies & Interests,Hiking
Zy7SefIdVl4,Where is the Bore???? - A Wheel of Time Fan Theory Analysis,Nae'Blis,659,21523,947,Education,Historical Analysis
WSzQC1zKesU,James Randi Speaks: Questioning the Bible,JamesRandiFoundation,659,1070758,18267,Education,Documentaries
gFiq57iAbL0,"ASMR DENTIST EXAM & TEETH CLEANING ROLEPLAY | Latex Gloves, Inaudible Whispers, Scratching",TylaASMR,659,72444,1343,Hobbies & Interests,ASMR
XOSQksSlr9c,Elora Hardy: Building a Sustainable (Bamboo) Future,INKtalks,659,88994,1215,Education,TED Talks
Ab3nqlbl9us,Simplifying The Melodic Minor Scale,Rick Graham,659,132511,3338,Education,Language Lessons
_WcRS4SKlu0,ðŸ˜‚ funny viral Young Fulani Niger beggars speaks,ONE GHANA TV,659,330441,6458,Entertainment,Daily Vlogs
PFXgR-e-jZk,Drake's Fans Are Shocked After He SHOWS The World His Blue Eyed' Blonde Hair Son,Lovelyti TV,659,158820,9584,News & Politics,Celebrity Interviews
7CB1ndH8DqI,"SOUTH ASIAN NEWSLINE,APRIL 8, 2024",TAG TV,659,247,7,News & Politics,World News
Te5DA8FVCUc,Doctor Who - Book Collection 2019,Sam Lewis Media,659,804,38,Hobbies & Interests,Memorabilia
xTK5HFZ_XNk,Glass Minnow + Sandbars,Drew M,659,17427,643,Hobbies & Interests,Fishing
FikaIfGcJCE,KTV Series GRACED  Ep8 PArt 2 - The Shifteye Gallery,Zachary Saitoti,659,4213,22,Art & Creativity,Art Exhibitions
o4N3ibfjEvY,Introvert Vs Extrovert ||  What is difference between introvert and extrovert?  || Ambivert || Jobs,Maneesh Diwakaran Nair,659,87,8,Sports,Career Highlights
wMqC3EriBaI,One Year on Antidepressants | Things I Wish I Knew,Becca,659,1941,158,Lifestyle,Mental Health Tips
EGjsH1Sgkjc,Why Being An Entrepreneur Is EASIER Than Being An Employee,Success Secrets TV,659,75585,2403,Education,Entrepreneurship
qRjgEwptxAk,"DO THE LIFTS YOU CAN, WITH THE WEIGHT YOU CAN - Aggressive Cut",SilentMike,659,18712,682,Lifestyle,Workout Routines
JjCqib7a9sM,Got FREAKY Infront of EVERYONEðŸ¥µ ft. @originallexis @LinnetteRodriguez41,Chris Gone Crazy,659,386566,8736,Hobbies & Interests,Pranks
1xZvok6nLgc,The Hermit in the Tower - Other Worldly Guided Visualization,Treeing Yoga,659,85,6,Hobbies & Interests,ASMR
304wEbHrpb8,"Quantocks Hike, Parts X XI XII XIII, 'The Drove & Angus Cattle' by Sheila, August 11th 2017",semw52,659,27,0,Hobbies & Interests,Hiking
GsaJU_SN88U,The Problems with Modern Combat Versus,Bnatesgamer,659,26248,694,Entertainment,Game Reviews
EG8KkR8LEOI,Getaway With Us | Camping in Ashboro,brianawit1n,659,4463,427,Hobbies & Interests,Camping
29aP-BFHCus,knitting diaries ep. 1 | what's been on my needles and what I want to cast on,Sachi,659,100,7,Hobbies & Interests,Knitting
MEKKYJNeJPI,Some Tips to Get Your Teen to Open Up to You | Hina Khan-Mukhtar,Muslim Community Center - MCC East Bay,659,33709,995,Lifestyle,Parenting Tips
duPef0W-S48,UN steeply lowers AIDS estimates,Ian Crossland,659,3122,54,News & Politics,Breaking News
RvSlBN9nINU,"Hablamos con la Dr. Cherry Ng (CNRS y grupo de trabajo Cradle of Life de SKAO), experta en SETI",IAA - ComunicaciÃ³n,659,237,7,News & Politics,Expert Interviews
dN9q2Rr2lAc,5 Best Automatic Curlers for 2023,Watch Before You Buy,659,15519,96,Hobbies & Interests,Buyerâ€™s Guides
Cc1YmPTvx1Y,THE KIPPA: Uncovering the Meaning of Jewish Headgear - with Rabbi Michael Skobac - Jews for Judaism,Jews for Judaism,659,11108,452,Education,Cultural Explainers
pRKKxtz3oUA,"Top 10 States To Live In, If You're a Gun Owner! 2018!",SixShooterTV,659,13399,0,Hobbies & Interests,Top 10 Videos
